DeLa,Id,PinaLa,Tip,Zile,RestrictiiTren_Id
"20150502","5","20150531","Da","799",58
"20150602","6","20151129","Da","799",58
"20151202","7","20151212","Da","799",58
"20141214","1","20141224","Da","831",59
"20141227","2","20141231","Da","831",59
"20150103","3","20150412","Da","831",59
"20150414","4","20150430","Da","831",59
"20150502","5","20150531","Da","831",59
"20150602","6","20150814","Da","831",59
"20150816","7","20151129","Da","831",59
"20151202","8","20151212","Da","831",59
"20141214","1","20151212","Da","16767",60
"20141214","1","20151212","Da","16767",61
"20141214","1","20151212","Da","287",62
"20141214","1","20151212","Da","16767",63
"20141214","1","20151212","Da","16767",64
"20141214","1","20151212","Da","16767",65
"20141214","1","20151212","Da","383",66
"20141214","1","20151212","Da","831",67
"20141214","1","20141219","Da","799",68
"20150105","2","20150130","Da","799",68
"20150209","3","20150410","Da","799",68
"20150420","4","20150619","Da","799",68
"20150914","5","20151212","Da","799",68
"20141214","1","20151212","Da","895",69
"20141214","1","20141224","Da","287",70
"20141227","2","20141231","Da","287",70
"20150103","3","20150412","Da","287",70
"20150414","4","20150430","Da","287",70
"20150502","5","20150531","Da","287",70
"20150602","6","20151129","Da","287",70
"20151202","7","20151212","Da","287",70
"20141214","1","20141224","Da","287",71
"20141227","2","20141231","Da","287",71
"20150103","3","20150412","Da","287",71
"20150414","4","20150430","Da","287",71
"20150502","5","20150531","Da","287",71
"20150602","6","20151129","Da","287",71
"20151202","7","20151212","Da","287",71
"20141214","1","20141224","Da","287",72
"20141227","2","20141231","Da","287",72
"20150103","3","20150412","Da","287",72
"20150414","4","20150430","Da","287",72
"20150502","5","20150531","Da","287",72
"20150602","6","20151129","Da","287",72
"20151202","7","20151212","Da","287",72
"20141214","1","20141224","Da","287",73
"20141227","2","20141231","Da","287",73
"20150103","3","20150412","Da","287",73
"20150414","4","20150430","Da","287",73
"20150502","5","20150531","Da","287",73
"20150602","6","20151129","Da","287",73
"20151202","7","20151212","Da","287",73
"20141214","1","20141224","Da","287",74
"20141227","2","20141231","Da","287",74
"20150103","3","20150412","Da","287",74
"20150414","4","20150430","Da","287",74
"20150502","5","20150531","Da","287",74
"20150602","6","20151129","Da","287",74
"20151202","7","20151212","Da","287",74
"20141214","1","20151212","Da","16767",75
"20141214","1","20151212","Da","16767",76
"20141214","1","20141221","Da","799",77
"20141225","2","20141228","Da","799",77
"20150101","3","20150201","Da","799",77
"20150207","4","20150413","Da","799",77
"20150418","5","20150621","Da","799",77
"20150627","6","20150628","Da","799",77
"20150704","7","20150705","Da","799",77
"20150711","8","20150712","Da","799",77
"20150718","9","20150719","Da","799",77
"20150725","10","20150726","Da","799",77
"20150801","11","20150802","Da","799",77
"20150808","12","20150809","Da","799",77
"20150815","13","20150816","Da","799",77
"20150822","14","20150823","Da","799",77
"20150829","15","20150830","Da","799",77
"20150905","16","20150906","Da","799",77
"20150912","17","20151212","Da","799",77
"20141214","1","20151212","Da","16767",78
"20141214","1","20151212","Da","16767",79
"20141214","1","20151212","Da","16767",80
"20141214","1","20151212","Da","16767",81
"20141214","1","20151212","Da","16767",82
"20141214","1","20141224","Da","799",83
"20141227","2","20141231","Da","799",83
"20150103","3","20150412","Da","799",83
"20150414","4","20150430","Da","799",83
"20150502","5","20150531","Da","799",83
"20150602","6","20151129","Da","799",83
"20151202","7","20151212","Da","799",83
"20141214","1","20151212","Da","16767",84
"20141214","1","20151212","Da","16767",85
"20141214","1","20151212","Da","16767",86
"20141214","1","20151212","Da","16767",87
"20141214","1","20151212","Da","351",88
"20141214","1","20151212","Da","16767",89
"20141214","1","20151212","Da","319",90
"20141214","1","20151212","Da","16767",91
"20141214","1","20151212","Da","16767",92
"20141214","1","20151212","Da","16767",93
"20141214","1","20151212","Da","16767",94
"20141214","1","20151212","Da","16767",95
"20141214","1","20151212","Da","16767",96
"20141214","1","20151212","Da","799",97
"20141214","1","20151212","Da","16767",98
"20141214","1","20151212","Da","799",99
"20141214","1","20151212","Da","16767",100
"20141214","1","20151212","Da","16767",101
"20141214","1","20141224","Da","799",102
"20141227","2","20141231","Da","799",102
"20150103","3","20150412","Da","799",102
"20150414","4","20150430","Da","799",102
"20150502","5","20150531","Da","799",102
"20150602","6","20151129","Da","799",102
"20151201","7","20151212","Da","799",102
"20141214","1","20151212","Da","16767",103
"20141214","1","20151212","Da","16767",104
"20141214","1","20151212","Da","271",105
"20141214","1","20151212","Da","16767",106
"20141214","1","20151212","Da","16767",107
"20141214","1","20151212","Da","16767",108
"20141214","1","20151212","Da","16767",109
"20141214","1","20151212","Da","16767",110
"20141214","1","20151212","Da","287",111
"20141214","1","20151212","Da","375",112
"20141214","1","20141219","Da","287",113
"20150105","2","20150130","Da","287",113
"20150209","3","20150410","Da","287",113
"20150420","4","20150619","Da","287",113
"20150914","5","20151212","Da","287",113
"20141214","1","20151212","Da","863",114
"20150614","1","20150914","Da","383",115
"20141214","1","20150612","Da","383",116
"20150914","2","20151212","Da","383",116
"20141214","1","20141219","Da","831",117
"20150104","2","20150130","Da","831",117
"20150208","3","20150410","Da","831",117
"20150419","4","20150430","Da","831",117
"20150502","5","20150531","Da","831",117
"20150602","6","20150619","Da","831",117
"20150913","7","20151129","Da","831",117
"20151202","8","20151212","Da","831",117
"20141214","1","20151212","Da","16767",118
"20141214","1","20151212","Da","287",119
"20141214","1","20151212","Da","382",120
"20141214","1","20151212","Da","16767",121
"20141214","1","20151212","Da","16767",122
"20141214","1","20151212","Da","16767",123
"20141214","1","20151212","Da","16767",124
"20141214","1","20141224","Da","287",125
"20141227","2","20141231","Da","287",125
"20150103","3","20150412","Da","287",125
"20150414","4","20150430","Da","287",125
"20150502","5","20150531","Da","287",125
"20150602","6","20151129","Da","287",125
"20151202","7","20151212","Da","287",125
"20141214","1","20150430","Da","383",126
"20141214","1","20151212","Da","16767",127
"20141214","1","20151212","Da","16767",128
"20141214","1","20141224","Da","799",129
"20141227","2","20141231","Da","799",129
"20150103","3","20150412","Da","799",129
"20150414","4","20150430","Da","799",129
"20150502","5","20150531","Da","799",129
"20150602","6","20151129","Da","799",129
"20151202","7","20151212","Da","799",129
"20141214","1","20151212","Da","16767",130
"20141214","1","20151212","Da","16767",131
"20141214","1","20151212","Da","16767",132
"20150614","1","20150913","Da","319",133
"20141214","1","20151212","Da","16767",134
"20141214","1","20151212","Da","16767",135
"20141214","1","20151212","Da","799",136
"20141214","1","20151212","Da","16767",137
"20141214","1","20141224","Da","799",138
"20141227","2","20141231","Da","799",138
"20150103","3","20150412","Da","799",138
"20150414","4","20150430","Da","799",138
"20150502","5","20150531","Da","799",138
"20150602","6","20151129","Da","799",138
"20151202","7","20151212","Da","799",138
"20141214","1","20150612","Da","383",139
"20150914","2","20151212","Da","383",139
"20141214","1","20151212","Da","16767",140
"20141214","1","20151212","Da","319",141
